county_code,county_name,n_respondents,mean_predicted_risk
25,Samburu,114,0.577045
24,West Pokot,162,0.39248088
33,Narok,173,0.3573588
10,Marsabit,89,0.30352837
44,Migori,180,0.30260903
43,Homa Bay,166,0.26979128
39,Bungoma,209,0.25285602
12,Meru,115,0.2527018
34,Kajiado,74,0.24519108
23,Turkana,113,0.23668073
30,Baringo,141,0.22757904
40,Busia,171,0.21791993
32,Nakuru,140,0.20492023
45,Kisii,155,0.20102875
26,Trans Nzoia,154,0.20011976
37,Kakamega,200,0.19971687
41,Siaya,160,0.19949874
4,Tana River,112,0.19468825
11,Isiolo,120,0.19384402
46,Nyamira,147,0.18661849
7,Garissa,197,0.18166533
35,Kericho,141,0.17219067
28,Elgeyo-Marakwet,85,0.16919456
6,Taita Taveta,61,0.16831647
5,Lamu,164,0.15908168
2,Kwale,163,0.1548683
42,Kisumu,146,0.15293418
22,Kiambu,85,0.15263413
29,Nandi,138,0.14705285
9,Mandera,168,0.14513317
14,Embu,74,0.13982682
3,Kilifi,171,0.13082182
17,Makueni,153,0.12679881
36,Bomet,169,0.12525299
31,Laikipia,122,0.12079222
38,Vihiga,217,0.11711192
15,Kitui,128,0.11670664
27,Uasin Gishu,120,0.114844725
21,Murang'a,108,0.108427346
16,Machakos,124,0.10429594
47,Nairobi,96,0.103589475
1,Mombasa,111,0.102540925
13,Tharaka-Nithi,70,0.09798364
8,Wajir,218,0.09174849
20,Kirinyaga,76,0.08046868
18,Nyandarua,128,0.07842856
19,Nyeri,76,0.046839893
