group,n,actual_pregnancy_rate,mean_predicted_risk,precision,recall,f1,dimension
1,322,0.20186335403726707,0.27352968,0.5888888888888889,0.8153846153846154,0.6838709677419355,wealth_quintile
2,288,0.17708333333333334,0.20769255,0.576271186440678,0.6666666666666666,0.6181818181818182,wealth_quintile
3,271,0.13284132841328414,0.17697227,0.5652173913043478,0.7222222222222222,0.6341463414634146,wealth_quintile
4,240,0.15416666666666667,0.1491385,0.8611111111111112,0.8378378378378378,0.8493150684931506,wealth_quintile
5,160,0.0875,0.07682391,0.5833333333333334,0.5,0.5384615384615384,wealth_quintile
Rural,866,0.1720554272517321,0.21672505,0.5860215053763441,0.7315436241610739,0.6507462686567164,urban_rural
Urban,415,0.13012048192771083,0.13554855,0.7368421052631579,0.7777777777777778,0.7567567567567568,urban_rural
None,72,0.3888888888888889,0.42495626,0.8181818181818182,0.9642857142857143,0.8852459016393442,education
Primary,447,0.19015659955257272,0.20606416,0.7127659574468085,0.788235294117647,0.7486033519553073,education
Secondary,737,0.11804613297150611,0.1594227,0.49557522123893805,0.6436781609195402,0.56,education
Higher,25,0.12,0.14937998,0.3333333333333333,0.3333333333333333,0.3333333333333333,education
