feature,samburu_mean_shap,nyeri_mean_shap,difference
ever_had_sex,-0.85191065,-6.1943645,5.342454
wealth_quintile,-0.12440522,-1.2742429,1.1498376
marital_0,0.5078037,-0.32441416,0.8322178
age_at_first_sex,0.26790532,-0.29530025,0.5632056
education,0.35505816,-0.18657523,0.54163337
v024,-0.08120964,-0.52916825,0.44795862
marital_1,0.34806016,-0.07771468,0.42577484
urban,-0.15695277,0.022927623,-0.1798804
heard_fp_a,-0.2867418,-0.14008607,-0.14665572
knows_modern_contraception,-0.12474626,-0.015176692,-0.10956957
marital_2,-0.008831304,0.05031924,-0.059150543
heard_fp_c,0.0077578328,-0.03667958,0.044437412
heard_fp_b,0.015868355,0.03463159,-0.018763237
marital_5,-0.004352685,-0.015045767,0.010693082
marital_4,0.016832424,0.008960365,0.007872059
