feature,samburu_mean_shap,nyeri_mean_shap,difference
ever_had_sex,-0.77750033,-6.7220836,5.9445834
marital_0,0.64923584,-0.42227098,1.0715069
wealth_quintile,-0.05903285,-0.953026,0.89399314
education,0.4538318,-0.26145524,0.715287
age_at_first_sex,0.31159192,-0.16548121,0.47707313
marital_1,0.16498111,-0.06208874,0.22706985
urban,-0.1817438,0.027978443,-0.20972225
knows_modern_contraception,-0.103858545,-0.016324822,-0.08753373
heard_fp_a,-0.15836486,-0.07495109,-0.08341377
heard_fp_c,0.0054262117,-0.061442237,0.06686845
v024,-0.3514977,-0.4099328,0.058435082
marital_2,0.034535296,0.00093095965,0.033604335
marital_5,-0.0002269639,-0.015139568,0.014912603
marital_4,0.017198531,0.008946317,0.008252214
heard_fp_b,0.009433705,0.0039983955,0.00543531
