feature,importance
marital_0,0.5907466205813122
marital_1,0.3676189471659259
age_at_first_sex,0.1714235553893991
v024,0.1700639206887719
wealth_quintile,0.12769685259959943
education,0.08441739028305595
marital_2,0.06324274406254626
marital_5,0.048883452996482564
urban,0.038240913152432665
heard_fp_b,0.029532019110848535
age_at_first_sex & marital_1,0.02695388206653228
heard_fp_a,0.0232799878179447
heard_fp_c,0.02266353242424914
heard_fp_a & marital_1,0.022245668528664053
heard_fp_a & marital_0,0.022022941392755912
education & marital_0,0.019451608214951597
v024 & age_at_first_sex,0.017910038239827248
age_at_first_sex & marital_0,0.01754138583292743
wealth_quintile & v024,0.01672756148330704
education & urban,0.01635737346950244
urban & knows_modern_contraception,0.016348426681825026
urban & marital_1,0.016338528014989792
v024 & marital_1,0.015797540805438586
wealth_quintile & age_at_first_sex,0.015532715359074504
education & marital_1,0.015029001719058965
wealth_quintile & marital_0,0.013683086689891046
urban & marital_0,0.01350677545961523
education & wealth_quintile,0.01315062827208957
v024 & heard_fp_a,0.012021274040971164
wealth_quintile & marital_1,0.011401179491940855
v024 & heard_fp_c,0.01055652172847598
education & heard_fp_a,0.010289323805388205
v024 & heard_fp_b,0.010055595176804944
v024 & marital_5,0.010014594265104997
v024 & marital_0,0.009362686789461458
urban & age_at_first_sex,0.009237633148428256
wealth_quintile & heard_fp_a,0.008884292248682151
education & age_at_first_sex,0.008244696849998416
urban & v024,0.00814644788608489
wealth_quintile & heard_fp_c,0.008069615772254457
wealth_quintile & marital_4,0.007983065402082448
wealth_quintile & heard_fp_b,0.007924042870164192
wealth_quintile & urban,0.007864243985221576
wealth_quintile & knows_modern_contraception,0.007163043259267081
education & v024,0.006622039381274101
age_at_first_sex & heard_fp_c,0.006336886302535739
v024 & marital_4,0.0059296056409549385
age_at_first_sex & marital_2,0.005861815202700008
age_at_first_sex & heard_fp_b,0.005766229730881129
age_at_first_sex & marital_5,0.004281760187028628
age_at_first_sex & heard_fp_a,0.004163918389723381
v024 & marital_2,0.0034773001626303935
age_at_first_sex & knows_modern_contraception,0.0029318090876818727
knows_modern_contraception,0.002768009901976777
marital_4,0.0027291804563878783
v024 & knows_modern_contraception,0.002488379076536722
