feature,samburu_mean_shap,nyeri_mean_shap,difference
marital_0,1.028534,-0.3816399,1.4101739
wealth_quintile,0.068813905,-1.286661,1.355475
age_at_first_sex,0.64944285,-0.5956783,1.2451212
education,0.47885782,-0.7080182,1.186876
v024,-0.41651684,-0.07758865,-0.3389282
marital_1,0.25247914,-0.05700662,0.30948576
urban,-0.12957028,0.13986589,-0.26943618
heard_fp_a,-0.06752537,0.0916614,-0.15918678
knows_modern_contraception,-0.052270975,0.013943886,-0.06621486
heard_fp_b,0.029985067,-0.0027870089,0.032772075
heard_fp_c,0.01537599,-0.011480472,0.026856463
marital_4,0.027930332,0.015912585,0.012017747
marital_2,0.037888717,0.047047768,-0.009159051
marital_5,-0.0024614471,-0.01157384,0.009112393
